Van der Pol Oscillator – Simulation Results
-----------------------------------------
mu = 1, dt = 0.01, final time = 20

t	 y(real)
-------------------------
0	 1.000000
1	 1.000000
2	 0.999893
3	 0.999680
4	 0.999374
5	 0.998962
6	 0.998459
7	 0.997849
8	 0.997147
9	 0.996338
10	 0.995438
11	 0.994431
12	 0.993332
13	 0.992126
14	 0.990829
15	 0.989426
16	 0.987930
17	 0.986328
18	 0.984634
19	 0.982834
20	 0.980942
21	 0.978943
22	 0.976852
23	 0.974655
24	 0.972366
25	 0.969971
26	 0.967484
27	 0.964890
28	 0.962204
29	 0.959412
30	 0.956528
31	 0.953552
32	 0.950470
33	 0.947296
34	 0.944016
35	 0.940643
36	 0.937180
37	 0.933609
38	 0.929947
39	 0.926178
40	 0.922318
41	 0.918365
42	 0.914307
43	 0.910156
44	 0.905899
45	 0.901550
46	 0.897110
47	 0.892563
48	 0.887924
49	 0.883179
50	 0.878342
51	 0.873398
52	 0.868362
53	 0.863235
54	 0.858002
55	 0.852676
56	 0.847244
57	 0.841721
58	 0.836090
59	 0.830353
60	 0.824524
61	 0.818588
62	 0.812561
63	 0.806427
64	 0.800201
65	 0.793869
66	 0.787430
67	 0.780899
68	 0.774261
69	 0.767517
70	 0.760666
71	 0.753723
72	 0.746674
73	 0.739517
74	 0.732254
75	 0.724884
76	 0.717407
77	 0.709824
78	 0.702133
79	 0.694336
80	 0.686432
81	 0.678421
82	 0.670303
83	 0.662064
84	 0.653717
85	 0.645264
86	 0.636688
87	 0.628006
88	 0.619217
89	 0.610306
90	 0.601288
91	 0.592148
92	 0.582886
93	 0.573517
94	 0.564026
95	 0.554413
96	 0.544678
97	 0.534821
98	 0.524841
99	 0.514740
100	 0.504517
101	 0.494171
102	 0.483704
103	 0.473099
104	 0.462372
105	 0.451523
106	 0.440536
107	 0.429428
108	 0.418182
109	 0.406799
110	 0.395294
111	 0.383652
112	 0.371872
113	 0.359955
114	 0.347900
115	 0.335709
116	 0.323380
117	 0.310913
118	 0.298294
119	 0.285538
120	 0.272629
121	 0.259583
122	 0.246384
123	 0.233047
124	 0.219559
125	 0.205917
126	 0.192139
127	 0.178207
128	 0.164124
129	 0.149887
130	 0.135498
131	 0.120956
132	 0.106262
133	 0.091415
134	 0.076401
135	 0.061234
136	 0.045914
137	 0.030441
138	 0.014801
139	 -0.000992
140	 -0.016937
141	 -0.033051
142	 -0.049316
143	 -0.065735
144	 -0.082321
145	 -0.099060
146	 -0.115952
147	 -0.132996
148	 -0.150208
149	 -0.167572
150	 -0.185089
151	 -0.202759
152	 -0.220581
153	 -0.238556
154	 -0.256668
155	 -0.274933
156	 -0.293335
157	 -0.311890
158	 -0.330582
159	 -0.349411
160	 -0.368378
161	 -0.387482
162	 -0.406708
163	 -0.426071
164	 -0.445557
165	 -0.465149
166	 -0.484863
167	 -0.504684
168	 -0.524612
169	 -0.544647
170	 -0.564774
171	 -0.584991
172	 -0.605301
173	 -0.625687
174	 -0.646133
175	 -0.666656
176	 -0.687241
177	 -0.707870
178	 -0.728546
179	 -0.749268
180	 -0.770020
181	 -0.790787
182	 -0.811569
183	 -0.832352
184	 -0.853134
185	 -0.873901
186	 -0.894653
187	 -0.915375
188	 -0.936050
189	 -0.956680
190	 -0.977249
191	 -0.997757
192	 -1.018173
193	 -1.038498
194	 -1.058731
195	 -1.078857
196	 -1.098862
197	 -1.118729
198	 -1.138458
199	 -1.158035
200	 -1.177444
201	 -1.196686
202	 -1.215744
203	 -1.234604
204	 -1.253250
205	 -1.271683
206	 -1.289902
207	 -1.307892
208	 -1.325638
209	 -1.343140
210	 -1.360382
211	 -1.377350
212	 -1.394043
213	 -1.410461
214	 -1.426590
215	 -1.442413
216	 -1.457947
217	 -1.473160
218	 -1.488068
219	 -1.502655
220	 -1.516922
221	 -1.530853
222	 -1.544464
223	 -1.557739
224	 -1.570679
225	 -1.583282
226	 -1.595535
227	 -1.607452
228	 -1.619019
229	 -1.630249
230	 -1.641129
231	 -1.651672
232	 -1.661865
233	 -1.671707
234	 -1.681213
235	 -1.690384
236	 -1.699219
237	 -1.707718
238	 -1.715881
239	 -1.723709
240	 -1.731216
241	 -1.738388
242	 -1.745239
243	 -1.751785
244	 -1.758011
245	 -1.763931
246	 -1.769547
247	 -1.774857
248	 -1.779877
249	 -1.784607
250	 -1.789047
251	 -1.793213
252	 -1.797104
253	 -1.800720
254	 -1.804077
255	 -1.807175
256	 -1.810013
257	 -1.812607
258	 -1.814957
259	 -1.817062
260	 -1.818924
261	 -1.820557
262	 -1.821976
263	 -1.823166
264	 -1.824142
265	 -1.824921
266	 -1.825485
267	 -1.825851
268	 -1.826019
269	 -1.826004
270	 -1.825806
271	 -1.825424
272	 -1.824860
273	 -1.824127
274	 -1.823227
275	 -1.822159
276	 -1.820923
277	 -1.819534
278	 -1.817993
279	 -1.816299
280	 -1.814468
281	 -1.812485
282	 -1.810364
283	 -1.808105
284	 -1.805725
285	 -1.803207
286	 -1.800568
287	 -1.797806
288	 -1.794922
289	 -1.791916
290	 -1.788803
291	 -1.785568
292	 -1.782227
293	 -1.778778
294	 -1.775223
295	 -1.771576
296	 -1.767822
297	 -1.763977
298	 -1.760025
299	 -1.755981
300	 -1.751846
301	 -1.747620
302	 -1.743301
303	 -1.738907
304	 -1.734421
305	 -1.729858
306	 -1.725204
307	 -1.720474
308	 -1.715668
309	 -1.710785
310	 -1.705826
311	 -1.700790
312	 -1.695679
313	 -1.690491
314	 -1.685226
315	 -1.679886
316	 -1.674484
317	 -1.669006
318	 -1.663467
319	 -1.657852
320	 -1.652176
321	 -1.646439
322	 -1.640625
323	 -1.634750
324	 -1.628815
325	 -1.622818
326	 -1.616745
327	 -1.610611
328	 -1.604416
329	 -1.598160
330	 -1.591843
331	 -1.585464
332	 -1.579025
333	 -1.572525
334	 -1.565964
335	 -1.559341
336	 -1.552658
337	 -1.545929
338	 -1.539139
339	 -1.532288
340	 -1.525375
341	 -1.518402
342	 -1.511368
343	 -1.504272
344	 -1.497116
345	 -1.489914
346	 -1.482651
347	 -1.475327
348	 -1.467941
349	 -1.460495
350	 -1.452988
351	 -1.445419
352	 -1.437790
353	 -1.430099
354	 -1.422348
355	 -1.414536
356	 -1.406662
357	 -1.398727
358	 -1.390732
359	 -1.382675
360	 -1.374557
361	 -1.366379
362	 -1.358139
363	 -1.349838
364	 -1.341476
365	 -1.333038
